[0, -2147483648][DEBUG] 阳光: 9990, 慢*, 346f, SL次数: 0 [10:51]
[0, -2147483648][DEBUG] 阳光: 9565, 白*, 348f, SL次数: 0 [10:51]
[0, -2147483648][DEBUG] 阳光: 9890, 白, 350f, SL次数: 0 [10:51]
[0, -2147483648][DEBUG] 阳光: 9990, 慢*, 352f, SL次数: 0 [10:51]
[0, -2147483648][DEBUG] 阳光: 9690, 慢, 354f, SL次数: 0 [10:51]
[0, -2147483648][DEBUG] 阳光: 9290, 变*, 356f, SL次数: 0 [10:51]
[0, -2147483648][DEBUG] 阳光: 9615, 快, 358f, SL次数: 0 [10:52]
[0, -2147483648][DEBUG] 阳光: 9940, 快*, 360f, SL次数: 0 [10:52]
[0, -2147483648][DEBUG] 阳光: 9990, 快, 362f, SL次数: 0 [10:52]
[0, -2147483648][DEBUG] 阳光: 9990, 变, 364f, SL次数: 0 [10:52]
[0, -2147483648][DEBUG] 阳光: 9990, 慢, 366f, SL次数: 0 [10:52]
[0, -2147483648][DEBUG] 阳光: 9690, 变*, 368f, SL次数: 0 [10:52]
[0, -2147483648][DEBUG] 阳光: 9990, 快*, 370f, SL次数: 0 [10:52]
[0, -2147483648][DEBUG] 阳光: 9990, 变*, 372f, SL次数: 0 [10:52]
[0, -2147483648][DEBUG] 阳光: 9990, 变, 374f, SL次数: 0 [10:52]
[0, -2147483648][DEBUG] 阳光: 9990, 变*, 376f, SL次数: 0 [10:52]
[0, -2147483648][DEBUG] 阳光: 9990, 白*, 378f, SL次数: 0 [10:52]
[0, -2147483648][DEBUG] 阳光: 9990, 慢, 380f, SL次数: 0 [10:52]
[0, -2147483648][DEBUG] 阳光: 9540, 慢, 382f, SL次数: 0 [10:52]
[0, -2147483648][DEBUG] 阳光: 9140, 白, 384f, SL次数: 0 [10:52]
[0, -2147483648][DEBUG] 阳光: 9465, 变*, 386f, SL次数: 0 [10:52]
[0, -2147483648][DEBUG] 阳光: 9765, 白, 388f, SL次数: 0 [10:52]
[0, -2147483648][DEBUG] 阳光: 9990, 变, 390f, SL次数: 0 [10:52]
[0, -2147483648][DEBUG] 阳光: 9990, 白, 392f, SL次数: 0 [10:52]
[0, -2147483648][DEBUG] 阳光: 9990, 白, 394f, SL次数: 0 [10:52]
[0, -2147483648][DEBUG] 阳光: 9990, 白, 396f, SL次数: 0 [10:52]
[0, -2147483648][DEBUG] 阳光: 9990, 快*, 398f, SL次数: 0 [10:52]
[0, -2147483648][DEBUG] 灰烬={w20樱桃: 5}
总={变: 51, 快: 49, 慢: 40, 白: 60}, 预计 12:34 完成 10k flags (共 106 min)
[0, -2147483648][DEBUG] 出怪种子: 0xDE58C76A
[0, -2147483648][DEBUG] 阳光: 9990, 变, 400f, SL次数: 0 [10:52]
[0, -2147483648][DEBUG] 阳光: 9990, 慢*, 402f, SL次数: 0 [10:52]
[0, -2147483648][DEBUG] 阳光: 9540, 变*, 404f, SL次数: 0 [10:52]
[0, -2147483648][DEBUG] 阳光: 9865, 慢, 406f, SL次数: 0 [10:52]
[0, -2147483648][DEBUG] 阳光: 9615, 变, 408f, SL次数: 0 [10:52]
[0, -2147483648][DEBUG] 阳光: 9815, 快, 410f, SL次数: 0 [10:52]
[0, -2147483648][DEBUG] 阳光: 9990, 白, 412f, SL次数: 0 [10:52]
[0, -2147483648][DEBUG] 阳光: 9990, 白*, 414f, SL次数: 0 [10:52]
[0, -2147483648][DEBUG] 阳光: 9990, 白, 416f, SL次数: 0 [10:52]
[0, -2147483648][DEBUG] 阳光: 9990, 快, 418f, SL次数: 0 [10:52]
[0, -2147483648][DEBUG] 阳光: 9990, 快, 420f, SL次数: 0 [10:52]
[0, -2147483648][DEBUG] 阳光: 9990, 白*, 422f, SL次数: 0 [10:52]
[0, -2147483648][DEBUG] 阳光: 9990, 变, 424f, SL次数: 0 [10:52]
[0, -2147483648][DEBUG] 阳光: 9990, 慢*, 426f, SL次数: 0 [10:52]
[0, -2147483648][DEBUG] 阳光: 9540, 慢, 428f, SL次数: 0 [10:52]
[0, -2147483648][DEBUG] 阳光: 9140, 变*, 430f, SL次数: 0 [10:52]
[0, -2147483648][DEBUG] 阳光: 9465, 变, 432f, SL次数: 0 [10:52]
[0, -2147483648][DEBUG] 阳光: 9790, 快, 434f, SL次数: 0 [10:52]
[0, -2147483648][DEBUG] 阳光: 9990, 慢, 436f, SL次数: 0 [10:52]
[0, -2147483648][DEBUG] 阳光: 9565, 变, 438f, SL次数: 0 [10:52]
[0, -2147483648][DEBUG] 阳光: 9890, 快*, 440f, SL次数: 0 [10:52]
[0, -2147483648][DEBUG] 阳光: 9990, 慢, 442f, SL次数: 0 [10:52]
[0, -2147483648][DEBUG] 阳光: 9715, 白, 444f, SL次数: 0 [10:52]
[0, -2147483648][DEBUG] 阳光: 9990, 快*, 446f, SL次数: 0 [10:52]
[0, -2147483648][DEBUG] 阳光: 9990, 变, 448f, SL次数: 0 [10:52]
[0, -2147483648][DEBUG] 阳光: 9990, 变, 450f, SL次数: 0 [10:52]
[0, -2147483648][DEBUG] 阳光: 9990, 变*, 452f, SL次数: 0 [10:53]
[0, -2147483648][DEBUG] 阳光: 9990, 白*, 454f, SL次数: 0 [10:53]
[0, -2147483648][DEBUG] 阳光: 9990, 白*, 456f, SL次数: 0 [10:53]
[0, -2147483648][DEBUG] 阳光: 9990, 白*, 458f, SL次数: 0 [10:53]
[0, -2147483648][DEBUG] 阳光: 9990, 快*, 460f, SL次数: 0 [10:53]
[0, -2147483648][DEBUG] 阳光: 9990, 白, 462f, SL次数: 0 [10:53]
[0, -2147483648][DEBUG] 阳光: 9990, 慢, 464f, SL次数: 0 [10:53]
[0, -2147483648][DEBUG] 阳光: 9265, 白*, 466f, SL次数: 0 [10:53]
[0, -2147483648][DEBUG] 阳光: 9615, 变*, 468f, SL次数: 0 [10:53]
[0, -2147483648][DEBUG] 阳光: 9740, 白*, 470f, SL次数: 0 [10:53]
[0, -2147483648][DEBUG] 阳光: 9990, 变, 472f, SL次数: 0 [10:53]
[0, -2147483648][DEBUG] 阳光: 9990, 快, 474f, SL次数: 0 [10:53]
[0, -2147483648][DEBUG] 阳光: 9990, 慢*, 476f, SL次数: 0 [10:53]
[0, -2147483648][DEBUG] 阳光: 9240, 快, 478f, SL次数: 0 [10:53]
[0, -2147483648][DEBUG] 阳光: 9590, 白, 480f, SL次数: 0 [10:53]
[0, -2147483648][DEBUG] 阳光: 9915, 快*, 482f, SL次数: 0 [10:53]
[0, -2147483648][DEBUG] 阳光: 9990, 白*, 484f, SL次数: 0 [10:53]
[0, -2147483648][DEBUG] 阳光: 9990, 快*, 486f, SL次数: 0 [10:53]
[0, -2147483648][DEBUG] 阳光: 9990, 慢*, 488f, SL次数: 0 [10:53]
[0, -2147483648][DEBUG] 阳光: 9565, 快*, 490f, SL次数: 0 [10:53]
[0, -2147483648][DEBUG] 阳光: 9915, 变, 492f, SL次数: 0 [10:53]
[0, -2147483648][DEBUG] 阳光: 9940, 慢, 494f, SL次数: 0 [10:53]
[0, -2147483648][DEBUG] 阳光: 9540, 变, 496f, SL次数: 0 [10:53]
[0, -2147483648][DEBUG] 阳光: 9865, 变, 498f, SL次数: 0 [10:53]
[0, -2147483648][DEBUG] 灰烬={w20樱桃: 6}
总={变: 66, 快: 61, 慢: 50, 白: 73}, 预计 12:34 完成 10k flags (共 106 min)
[0, -2147483648][DEBUG] 出怪种子: 0xBC085749
[0, -2147483648][DEBUG] 阳光: 9990, 变, 500f, SL次数: 0 [10:53]
[0, -2147483648][DEBUG] 阳光: 9990, 快, 502f, SL次数: 0 [10:53]
[0, -2147483648][DEBUG] 阳光: 9990, 变, 504f, SL次数: 0 [10:53]
[0, -2147483648][DEBUG] 阳光: 9990, 白, 506f, SL次数: 0 [10:53]
[0, -2147483648][DEBUG] 阳光: 9990, 快*, 508f, SL次数: 0 [10:53]
[0, -2147483648][DEBUG] 阳光: 9990, 快*, 510f, SL次数: 0 [10:53]
[0, -2147483648][DEBUG] 阳光: 9990, 白, 512f, SL次数: 0 [10:53]
[0, -2147483648][DEBUG] 阳光: 9990, 快, 514f, SL次数: 0 [10:53]
[0, -2147483648][DEBUG] 阳光: 9990, 快, 516f, SL次数: 0 [10:53]
[0, -2147483648][DEBUG] 阳光: 9990, 变, 518f, SL次数: 0 [10:53]
[0, -2147483648][DEBUG] 阳光: 9990, 快*, 520f, SL次数: 0 [10:53]
[0, -2147483648][DEBUG] 阳光: 9990, 白, 522f, SL次数: 0 [10:53]
[0, -2147483648][DEBUG] 阳光: 9990, 变*, 524f, SL次数: 0 [10:53]
[0, -2147483648][DEBUG] 阳光: 9990, 快, 526f, SL次数: 0 [10:53]
